"状态","现代词条","候选整理文本","基础原文","传统分类","匹配分数","备选1","备选2"
"approx","梦见蛇咬自己","蛇咬人，主得财","蛇咬人主得大财","龙蛇禽兽等类","0.812","棺敛死人主得财","被人凌辱主得财"
"approx","梦见蛇咬自己","蛇入怀，生贵子","蛇入怀中生贵子","龙蛇禽兽等类","0.782","星入怀主生贵子","鹤入怀中生贵子"
"missing","梦见蛇咬自己","蛇绕腰，主有孕","蛇黄白主有官事","龙蛇禽兽等类","0.285","渡天河主有所吉","桑生井上主有忧"
"missing","梦见蛇吞物","蛇吞物者，主异变，远行者忌之","水上行者主大吉","水火盗贼灯烛","0.206","备马者生远行事","空野无人主远行"
"missing","梦见白蛇","白蛇入室，主添人口","马入室主奸情事","牛马猪羊六畜","0.336","蛇入谷道主口舌","棋子主添丁进口"
"missing","梦见白蛇","白蛇盘门，吉兆临之","城中行凶出门吉","宫室屋宇仓库","0.194","云赤白吉青黑凶","头白主长命大吉"
"approx","梦见蛇绕身","蛇遶身者，生贵子","蛇绕身者生贵子","龙蛇禽兽等类","0.777","食枣者主生贵子","蛇入怀中生贵子"
"missing","梦见蛇绕身","蛇绕足，主行成有得","见鳖者主有得财","龟鳖鱼虾昆虫","0.247","蛇绕身者生贵子","得人刀主行人至"
"exact","梦见蛇入怀","蛇入怀中生贵子","蛇入怀中生贵子","龙蛇禽兽等类","1.000","鹤入怀中生贵子","星入怀主生贵子"
"missing","梦见蛇入怀","蛇近身，主得人欢心","屎尿污身主得财","污垢沐浴凌辱","0.336","龙蛇入门主得财","蛇咬人主得大财"
"approx","梦见蛇黄白","蛇黄白主有官事，事关公门，宜慎处","蛇黄白主有官事","龙蛇禽兽等类","0.930","见流桥主有官事","见桥坏主有官事"
"missing","梦见蛇赤黑","蛇赤者，口舌至","宫城塞者口舌至","门户井灶橱厕","0.556","见歌舞者口舌至","蛇赤黑主口舌吉"
"missing","梦见蛇赤黑","蛇黑者，宜青吉，遇事缄默无虞","蛇赤黑主口舌吉","龙蛇禽兽等类","0.135","蛇多者主阴司事","骑虎行者恶事无"
"missing","梦见蛇入灶","蛇入灶者，有官至，亦主家中得财","龙蛇入灶有官至","龙蛇禽兽等类","0.482","龙蛇入门主得财","在官厨中得财禄"
"approx","梦见蛇咬人","蛇蛟人主得大财","蛇咬人主得大财","龙蛇禽兽等类","0.777","鼎鼐者主得大财","釜溢者主得大财"
"missing","梦见蛇咬人","蛇咬不见血，事必圆满","蛇咬人主得大财","龙蛇禽兽等类","0.206","持刀相杀见血吉","砍刺见血主大吉"
"approx","梦见多蛇","蛇多者，主阴司事，宜避是非，善持心念","蛇多者主阴司事","龙蛇禽兽等类","0.925","手帕者主口舌事","锤钻者主侵害事"
"missing","梦见龙","龙飞者，贵人扶助之象","抱旌节主贵人扶","刀剑旌节钟鼓","0.306","见好枕有贵人扶","身在火中贵人扶"
"missing","梦见龙","乘龙上天，必得显贵","乘龙上天主大贵","天地日月星辰","0.530","乘龙上市主贵位","乘龙上山所求遂"
"missing","梦见龙入井","龙入井者，贵人被囚之象，不吉","龙入井中官被辱","龙蛇禽兽等类","0.306","贵人与之衣冠吉","执笏见贵人大吉"
"exact","梦见龙入水","乘龙入水有贵位","乘龙入水有贵位","龙蛇禽兽等类","1.000","乘龙上市主贵位","乘龙上天主大贵"
"approx","梦见龙入水","龙眠水中，求事遂意","龙眠水中求事通","龙蛇禽兽等类","0.761","枫生屋上百事遂","刀落水中妻妾亡"
"exact","梦见龙入门","龙当门者大吉昌","龙当门者大吉昌","龙蛇禽兽等类","1.000","种树木者大吉昌","杀猪者大吉利"
"exact","梦见龙入门","龙蛇入门，主得财","龙蛇入门主得财","龙蛇禽兽等类","1.000","果林中行主得财","剪刀剪物主得财"
"approx","梦见龙死","龙死亡，主失贵位，宜守不宜进","龙死亡主失贵位","龙蛇禽兽等类","0.943","乘龙上市主贵位","升山落地主失位"
"missing","梦见龙入市","乘龙入市，主贵位，名扬于众","乘龙上市主贵位","龙蛇禽兽等类","0.519","乘龙入水有贵位","夫妇入市主置产"
"missing","梦见老虎","虎入宅，官禄至","虎入宅中官职重","龙蛇禽兽等类","0.451","身着孝服官禄至","将棺入宅禄位至"
"missing","梦见老虎","虎伤人，主疾病","风吹人衣主疾病","天地日月星辰","0.451","贵人赐宴主疾病","死人食者主疾病"
"missing","梦见老虎","骑虎行，贵人助","蛇化龙行贵人助","龙蛇禽兽等类","0.556","凤凰主有贵人助","骑虎行者恶事无"
"missing","梦见虎走","虎出山走，主贵客至，客至有喜","居住高山有喜事","地理山石树木","0.173","抱妇人主有喜事","死人出棺外客至"
"approx","梦见骑虎","骑虎行者无恶事","骑虎行者恶事无","龙蛇禽兽等类","0.777","葫芦者主恶事连","裆盏被主有恶事"
"missing","梦见骑虎","与虎共行，主威权显","星列行主添奴婢","天地日月星辰","0.194","果林中行主得财","船飞行主大富贵"
"approx","梦见狼","豹狼恶狗有盗贼","豺狼恶狗有盗贼","龙蛇禽兽等类","0.843","与恶人言有口舌","天明妇有生贵子"
